Wall time,Step,Value
1666084975.7169962,101501,186.0
1666085851.81743,102161,148.0
1666085858.6544802,102166,97.0
1666085951.4351017,102247,377.0
1666086281.1041033,102509,70.0
1666086682.4287283,102806,168.0
1666087293.2371647,103236,198.0
1666087682.9354727,103508,49.0
1666088268.8173923,103917,148.0
1666088815.2339191,104340,43.0
1666088821.5261827,104347,51.0
1666088913.5479147,104413,71.0
1666088988.0565915,104462,178.0
1666089857.7166188,105077,83.0
1666090185.2277062,105298,85.0
1666090490.3665206,105524,83.0
1666090625.916591,105613,164.0
1666090777.216342,105722,133.0
1666090878.7375002,105798,102.0
1666091651.4029005,106341,176.0
1666091682.033378,106363,172.0
1666091857.7175758,106481,82.0
1666092476.5178256,106901,153.0
1666092569.5455563,106967,51.0
1666092810.7855928,107116,130.0
1666093107.8318636,107292,460.0
1666093644.155309,107625,83.0
1666093857.2005885,107782,49.0
1666093955.0265393,107868,49.0
1666094059.5000918,107952,86.0
1666095947.5994127,109140,136.0
1666096066.1291046,109204,105.0
1666096555.2466536,109499,59.0
1666097220.5063045,109914,132.0
1666097428.8545237,110026,97.0
1666097472.4621282,110048,83.0
1666098260.8344417,110500,58.0
1666099162.025611,111013,172.0
1666099584.6335235,111265,113.0
1666099671.236193,111313,51.0
1666099715.823845,111343,54.0
1666100860.003451,111963,107.0
1666101739.237296,112423,598.0
1666101787.9147093,112448,52.0
1666101934.4914382,112532,154.0
1666102197.429892,112654,459.0
1666105587.9675174,114204,154.0
1666105949.499792,114363,617.0
1666105969.464386,114373,140.0
1666106916.143186,114769,190.0
1666107071.937497,114839,271.0
1666108225.7228994,115358,221.0
1666108233.349222,115362,231.0
1666108382.0418353,115427,83.0
1666108858.708199,115634,22.0
1666108929.4685032,115662,85.0
1666110092.963416,116158,170.0
1666110095.1761773,116159,232.0
1666110327.9344332,116254,525.0
1666111149.2018478,116594,43.0
1666111156.7231889,116598,429.0
1666113884.7057621,117764,74.0
1666115868.9772081,118575,77.0
1666116077.9356625,118652,173.0
1666117005.2358134,119025,318.0
1666117451.3351283,119203,87.0
1666118134.723791,119508,524.0
1666120121.847979,120278,633.0
1666120275.2428493,120345,60.0
1666120702.1053863,120512,754.0
1666121922.7620587,120994,48.0
1666123445.1585567,121571,464.0
1666125848.8537555,122463,70.0
1666126199.357285,122591,163.0
1666126339.4289286,122646,114.0
1666127018.708282,122905,43.0
1666128035.1324563,123282,228.0
1666128473.6306758,123454,212.0
1666129766.7225866,123974,228.0
1666130292.7001126,124180,77.0
1666131465.8341131,124600,192.0
1666132698.6648374,125084,43.0
1666132775.934786,125110,70.0
1666133783.053646,125464,78.0
1666134679.262811,125793,555.0
1666135338.2448802,126027,692.0
1666135670.7095912,126139,236.0
1666137657.8607628,126859,186.0
1666139785.8783693,127611,691.0
1666142169.7069643,128450,44.0
1666142734.2128284,128664,109.0
1666142867.911334,128712,93.0
1666143465.511606,128922,149.0
1666144477.553029,129285,243.0
1666144528.6784453,129305,76.0
1666144584.814542,129330,135.0
1666145093.4227803,129521,22.0
1666145469.9245393,129654,197.0
1666147242.6594872,130302,1010.0
1666149282.041936,131002,300.0
1666149831.2082753,131209,219.0
1666152165.0647728,132004,255.0
1666154057.356496,132653,206.0
1666154982.862393,132971,199.0
1666155598.7539623,133179,92.0
1666160392.747821,134796,200.0
1666160845.4992096,134950,101.0
1666161026.0086145,135005,299.0
1666161128.452574,135038,212.0
1666161314.3191807,135102,884.0
1666161473.8654766,135156,537.0
1666161513.4775898,135169,140.0
1666162140.3152988,135383,478.0
1666165573.856649,136542,161.0
1666166854.3264697,136980,626.0
1666167108.907263,137065,180.0
1666168225.8227253,137447,287.0
1666169658.0424795,137909,163.0
1666169858.3469164,137973,552.0
1666170134.5259047,138075,131.0
1666170294.5447338,138129,106.0
1666170357.8801591,138149,71.0
1666170530.8383613,138209,130.0
1666175450.8314714,139830,42.0
1666176276.3596623,140119,593.0
1666176365.5101764,140153,114.0
1666176597.6250436,140238,810.0
1666176904.861399,140342,151.0
1666176932.8127334,140352,631.0
1666177302.8715436,140475,73.0
1666177816.2451737,140644,22.0
1666179819.740206,141314,43.0
1666180173.498854,141426,50.0
1666180343.0232778,141480,115.0
1666180799.2062187,141644,820.0
1666181051.2327466,141738,204.0
1666183266.0725427,142457,243.0
1666183408.2561584,142503,203.0
1666185731.0103986,143330,187.0
1666186162.9589267,143471,177.0
1666187382.3352897,143889,94.0
1666189533.5371122,144562,266.0
1666190093.601256,144756,659.0
1666190094.2074592,144757,50.0
1666190200.1048803,144789,208.0
1666193233.6483896,145774,649.0
1666193566.3234558,145880,250.0
1666193950.3035636,146000,180.0
1666194763.6536722,146272,327.0
1666196419.2033496,146834,289.0
1666196552.2491832,146877,329.0
1666202333.3662493,148802,222.0
1666203308.000468,149113,553.0
1666203423.2041838,149149,176.0
1666205706.7379203,149924,93.0
1666208641.4015818,150913,528.0
1666208859.748301,150986,150.0
1666209116.4399993,151074,76.0
1666209124.2116003,151077,651.0
