Wall time,Step,Value
1665970433.038025,4146,3662.0
1665971552.5265467,4181,2758.0
1665971879.9251392,4192,3742.0
1665972889.1515162,4227,2560.0
1665973806.7578208,4257,3132.0
1665975733.7087286,4318,2501.0
1665976032.2610087,4328,3810.0
1665979995.248113,4454,3995.0
1665982572.2609472,4535,4059.0
1665982665.5558903,4539,2760.0
1665983536.7695556,4564,3591.0
1665984962.3106341,4612,3677.0
1665986042.9434829,4649,3326.0
1665987297.0478046,4690,3516.0
1665987395.2416394,4692,3082.0
1665987551.7242703,4698,3025.0
1665987830.4448495,4707,3571.0
1665988544.0688376,4730,3083.0
1665990022.4278295,4777,3897.0
1665991742.1197817,4832,3664.0
1665991820.5104403,4835,3715.0
1665991848.2635677,4836,3687.0
1665992102.114822,4844,2728.0
1665993266.8430367,4882,3204.0
1665994033.2586496,4910,3214.0
1665995128.0155396,4949,3224.0
1665995934.035071,4980,2663.0
1665998606.8507318,5079,2507.0
1665998880.4507463,5088,3047.0
1665998940.6330595,5090,4573.0
1666000114.8368092,5132,2750.0
1666000208.2587492,5136,3157.0
1666000634.1389747,5151,2943.0
1666000742.2388134,5155,2315.0
1666001575.640098,5187,3636.0
1666001958.0511873,5200,3488.0
1666002680.671172,5225,4176.0
1666003026.024364,5238,3359.0
1666003455.4308865,5253,3102.0
1666003694.4445508,5262,2456.0
1666004594.7153578,5295,2423.0
1666005226.0487158,5319,2638.0
1666005346.4377813,5322,2978.0
1666006454.1411688,5362,2156.0
1666006623.4145246,5370,3085.0
1666007540.2102647,5403,3489.0
1666008788.659103,5445,2813.0
1666009055.508599,5454,3617.0
1666010555.8085673,5509,3164.0
1666015039.95861,5667,3355.0
1666016783.941827,5730,2960.0
1666017541.8417938,5758,2916.0
1666018222.962331,5781,2807.0
1666019660.1396952,5832,2315.0
1666020612.447988,5866,2852.0
1666020981.3319578,5879,3443.0
1666023064.5541804,5956,3398.0
1666023779.9232223,5981,3029.0
1666024204.9475205,5997,2403.0
1666024522.4390507,6009,3313.0
1666025675.958569,6053,3345.0
1666027089.4575787,6111,2668.0
1666027765.6436648,6138,2239.0
1666027888.9118593,6142,2255.0
1666030065.6326237,6225,2522.0
1666030561.1421132,6243,2893.0
1666031444.3232408,6279,3198.0
1666032817.645163,6332,2943.0
1666032870.4375799,6334,3024.0
1666033496.0532334,6358,2886.0
1666033516.666067,6359,2813.0
1666033665.1461692,6364,2435.0
1666033777.5260086,6369,2411.0
1666037830.0254896,6528,2919.0
1666038483.027619,6551,3595.0
1666038821.0610507,6564,3183.0
1666038941.3212187,6569,2892.0
1666039398.6217766,6585,2909.0
1666039521.8678195,6590,3049.0
1666039770.8608737,6599,2583.0
1666040196.2444563,6615,2182.0
1666041701.054289,6673,2780.0
1666042851.9333408,6720,2396.0
1666043138.4526446,6730,2120.0
1666043637.3564298,6750,2503.0
1666044999.864515,6802,2527.0
1666046032.5153084,6842,3440.0
1666046201.5739274,6850,2802.0
1666047913.9334757,6916,3385.0
1666047978.5647209,6919,3227.0
1666048266.761982,6930,2598.0
1666049810.3203194,6991,2815.0
1666049918.5638323,6996,2737.0
1666049966.7474499,6998,3401.0
1666051441.5376244,7054,3110.0
1666053019.617803,7117,2535.0
1666053067.2320051,7120,1986.0
1666053241.7630835,7126,2368.0
1666054232.9645329,7164,2097.0
1666055376.4307249,7207,3761.0
1666056553.0088615,7253,2460.0
1666057072.2223096,7274,2597.0
1666057982.7328012,7308,2709.0
1666058748.7632225,7338,2851.0
1666059141.9369671,7353,2449.0
1666059506.521489,7367,2656.0
1666061403.1655898,7436,2794.0
1666062113.9275434,7464,2566.0
1666062194.9224496,7468,2469.0
1666062240.8569179,7470,3508.0
1666062601.9395099,7482,3595.0
1666063232.2416728,7506,2337.0
1666063495.6391485,7518,2388.0
1666063848.2165873,7532,3030.0
1666064101.81414,7543,2485.0
1666065335.409836,7593,3402.0
1666065607.9159396,7604,2594.0
1666066408.873556,7638,2522.0
1666066565.7293508,7644,2383.0
1666066947.1092622,7660,2675.0
1666068568.7133234,7727,2325.0
1666068630.6543148,7730,3512.0
1666069273.7144842,7756,3431.0
1666070222.5437691,7794,2662.0
1666070240.7161481,7795,2254.0
1666070912.04181,7821,3034.0
1666071285.4173834,7838,2525.0
1666071729.4524913,7855,2706.0
1666072734.5147467,7895,2397.0
1666072883.0626388,7901,2466.0
1666073552.4474554,7929,2418.0
1666074972.1159046,7986,2787.0
1666076514.0152056,8046,3414.0
1666077285.7483418,8078,2413.0
1666078413.6593132,8122,2909.0
1666078941.7544622,8144,2962.0
1666080702.663112,8216,2859.0
1666081030.422093,8229,3267.0
1666082254.7433472,8277,2696.0
1666082641.4444215,8291,2564.0
1666082752.4410481,8296,3076.0
1666084708.410631,8377,2512.0
1666085181.9568365,8397,2399.0
1666087515.7478392,8491,2120.0
1666088887.544917,8548,2536.0
1666089070.127747,8554,2508.0
1666089309.435361,8563,2738.0
1666090701.037638,8618,2569.0
1666091774.9468994,8659,3469.0
1666091888.0431163,8663,2485.0
1666092624.2729907,8694,2386.0
1666093314.8669713,8724,2632.0
1666094014.7326267,8752,3667.0
1666094573.1625257,8776,2023.0
1666094612.4227881,8778,2424.0
1666095737.0433662,8823,2175.0
1666095975.545001,8833,2249.0
1666096718.7153902,8865,2451.0
1666096813.309479,8870,2238.0
1666096988.1270864,8877,2773.0
1666097916.9365938,8917,2212.0
1666098043.932058,8921,2256.0
1666099561.9250987,8985,2055.0
1666100062.5495353,9006,2454.0
1666100698.9681904,9033,2837.0
1666101263.944162,9058,2740.0
1666102781.8346052,9121,2999.0
1666103514.6617186,9152,2859.0
1666104876.8610425,9212,2387.0
1666105802.7399879,9252,2205.0
1666106742.2498302,9291,2698.0
1666106999.8507843,9303,2472.0
1666107212.155808,9312,3310.0
1666107549.5124052,9327,2985.0
1666108011.946607,9345,2709.0
1666108367.2285066,9359,2639.0
1666108695.3144588,9372,2121.0
1666108788.946928,9377,2367.0
1666108995.4100628,9387,2465.0
1666110590.937711,9456,3181.0
1666112546.9108515,9538,2863.0
1666112760.5505986,9547,2964.0
1666113178.1556003,9566,2406.0
1666115571.1260026,9671,2669.0
1666115588.4414217,9672,2237.0
1666116461.3378544,9712,2346.0
1666117439.538663,9753,2215.0
1666117459.7606251,9754,2230.0
1666117852.3637304,9772,2385.0
1666118787.6530135,9813,2831.0
1666119023.6605375,9824,2460.0
1666119311.2108896,9837,2532.0
1666119594.2598202,9850,2473.0
1666120005.5425124,9867,2588.0
1666120608.359315,9894,2673.0
1666121146.153477,9917,2287.0
1666121860.909708,9948,3582.0
1666121880.3412228,9949,2548.0
1666121899.1278625,9950,2416.0
1666122122.2452903,9960,2411.0
1666122437.6230671,9973,2939.0
1666122554.0129259,9979,2043.0
1666122887.5554712,9993,2348.0
1666124483.308519,10063,2153.0
1666125096.220178,10090,2244.0
1666125840.9375303,10121,2310.0
1666126191.7251868,10138,2460.0
1666127403.6632838,10191,2603.0
1666127759.6206489,10208,2522.0
1666127916.9551935,10215,2361.0
1666129026.430518,10269,1835.0
1666129255.1194468,10280,2465.0
1666130663.2336323,10342,2501.0
1666130714.5539007,10345,2336.0
1666130734.951822,10346,2708.0
1666131820.6586285,10395,2548.0
1666132868.1187024,10445,2298.0
1666133012.660144,10451,2336.0
1666133027.5200694,10452,2032.0
1666133124.4599557,10458,2281.0
1666134056.0664878,10501,1995.0
1666134403.131003,10518,2673.0
1666135345.7539666,10561,2297.0
1666136092.6346512,10596,2115.0
1666136935.810298,10633,2652.0
1666137150.8430295,10643,2759.0
1666137188.9467292,10645,2890.0
1666138551.1423612,10707,2678.0
1666138775.2318773,10717,2407.0
1666138920.7262104,10724,2433.0
1666139926.2530794,10771,3052.0
1666141409.5377278,10842,2141.0
1666145249.1427479,11023,3014.0
1666145344.010189,11028,2364.0
1666145506.5145912,11036,2040.0
1666145892.109201,11054,2553.0
1666146763.2519836,11094,1771.0
1666147256.369462,11118,1807.0
1666147407.659405,11124,3500.0
1666147428.7327554,11125,2734.0
1666148146.0242174,11159,2182.0
1666148360.3287814,11170,2204.0
1666149313.325817,11212,2366.0
1666149416.7631721,11218,2331.0
1666149586.7690883,11226,2721.0
1666151773.2585387,11330,2392.0
1666151825.7260144,11331,3037.0
1666153190.7381914,11394,3047.0
1666153406.068979,11404,2575.0
1666153491.909576,11409,2400.0
1666154230.4394555,11443,2455.0
1666154622.6157098,11461,2707.0
1666154658.3102057,11463,2232.0
