Wall time,Step,Value
1666102781.8345554,9121,12.0
1666103514.6616755,9152,9.0
1666104876.860989,9212,18.0
1666105802.7399118,9252,17.0
1666106742.249773,9291,11.0
1666106999.850728,9303,13.0
1666107212.1557472,9312,8.0
1666107549.5123463,9327,12.0
1666108011.9465501,9345,16.0
1666108367.2284343,9359,13.0
1666108695.3144062,9372,19.0
1666108788.9468718,9377,13.0
1666108995.4100091,9387,11.0
1666110590.937665,9456,11.0
1666112546.9107988,9538,8.0
1666112760.5505497,9547,14.0
1666113178.1555452,9566,11.0
1666115571.1259322,9671,12.0
1666115588.4413776,9672,16.0
1666116461.3377976,9712,16.0
1666117439.5386186,9753,14.0
1666117459.7605782,9754,16.0
1666117852.3636754,9772,12.0
1666118787.6529617,9813,8.0
1666119023.6604927,9824,13.0
1666119311.2108426,9837,12.0
1666119594.2597728,9850,15.0
1666120005.5424614,9867,14.0
1666120608.3592691,9894,14.0
1666121146.1534262,9917,14.0
1666121860.909656,9948,5.0
1666121880.3411696,9949,13.0
1666121899.1278157,9950,17.0
1666122122.2452443,9960,13.0
1666122437.623011,9973,5.0
1666122554.0128727,9979,20.0
1666122887.5554163,9993,16.0
1666124483.3084095,10063,17.0
1666125096.2201042,10090,15.0
1666125840.937478,10121,13.0
1666126191.725135,10138,19.0
1666127403.6632276,10191,16.0
1666127759.6205964,10208,11.0
1666127916.955133,10215,13.0
1666129026.430463,10269,17.0
1666129255.1194017,10280,16.0
1666130663.2335799,10342,16.0
1666130714.5538538,10345,12.0
1666130734.9517663,10346,12.0
1666131820.6585786,10395,13.0
1666132868.1186547,10445,18.0
1666133012.6600947,10451,13.0
1666133027.5200164,10452,13.0
1666133124.4599073,10458,12.0
1666134056.0664315,10501,15.0
1666134403.13095,10518,12.0
1666135345.7539182,10561,14.0
1666136092.6346009,10596,16.0
1666136935.810239,10633,9.0
1666137150.8429744,10643,10.0
1666137188.9466722,10645,10.0
1666138551.1423032,10707,13.0
1666138775.2318034,10717,17.0
1666138920.7261648,10724,16.0
1666139926.253031,10771,10.0
1666141409.537675,10842,15.0
1666145249.142701,11023,8.0
1666145344.0101447,11028,14.0
1666145506.5145466,11036,17.0
1666145892.109147,11054,11.0
1666146763.2519374,11094,17.0
1666147256.3694205,11118,17.0
1666147407.659353,11124,5.0
1666147428.732693,11125,9.0
1666148146.0241735,11159,18.0
1666148360.328727,11170,14.0
1666149313.3257654,11212,13.0
1666149416.7631211,11218,14.0
1666149586.769041,11226,12.0
1666151773.2584896,11330,13.0
1666151825.725962,11331,8.0
1666153190.7381294,11394,6.0
1666153406.0689363,11404,8.0
1666153491.9095259,11409,12.0
1666154230.4394069,11443,14.0
1666154622.6156628,11461,14.0
1666154658.3101478,11463,15.0
1666155932.7191038,11526,8.0
1666157052.7456236,11578,15.0
1666157781.263559,11611,12.0
1666159633.3355584,11696,12.0
1666160474.9620707,11736,11.0
1666160921.949659,11756,13.0
1666161098.4196422,11765,17.0
1666161585.8551283,11786,13.0
1666162324.8268743,11819,17.0
1666162937.5319805,11847,12.0
1666163365.3564377,11867,16.0
1666163563.7096527,11876,16.0
1666163695.4444573,11882,14.0
1666165239.568361,11955,17.0
1666165597.3188539,11972,8.0
1666166738.411088,12027,18.0
1666167806.7114072,12076,12.0
1666169934.6399057,12175,8.0
1666170009.0636573,12179,16.0
1666171210.442439,12235,15.0
1666172041.0544627,12271,9.0
1666172749.6458201,12302,19.0
1666172794.6648202,12304,8.0
1666173059.4254816,12316,13.0
1666173883.8404117,12354,12.0
1666174712.4386744,12394,14.0
1666174788.455507,12398,18.0
1666174828.0280757,12400,15.0
1666175301.8279557,12421,12.0
1666175314.5576413,12422,19.0
1666175606.8478692,12437,12.0
1666175824.452444,12449,12.0
1666176390.3612025,12476,13.0
1666176430.4743023,12478,15.0
1666176472.0617573,12480,8.0
1666178031.2213206,12554,17.0
1666179035.3420458,12601,11.0
1666179999.9456244,12648,7.0
1666181244.3366756,12708,13.0
1666182845.4264743,12782,15.0
1666183054.2492344,12791,5.0
1666185351.1132622,12901,11.0
1666185427.416893,12905,10.0
1666186302.2159708,12944,4.0
1666186884.9393532,12972,16.0
1666186959.317671,12976,14.0
1666187398.1518972,12997,16.0
1666187650.8240674,13010,10.0
1666188030.0100765,13024,4.0
1666188557.4175496,13048,15.0
1666189541.079027,13092,10.0
1666191601.010186,13188,13.0
1666192946.2693896,13250,8.0
1666193201.7276413,13261,12.0
1666194102.1608343,13304,13.0
1666195011.1089573,13349,11.0
1666195845.7546687,13388,16.0
1666196489.3190308,13418,18.0
1666197253.2305527,13455,15.0
1666198705.458857,13522,15.0
1666199289.06164,13550,17.0
1666199466.854533,13558,14.0
1666200848.0326004,13623,16.0
1666201234.0573606,13642,15.0
1666201270.7277942,13644,15.0
1666201322.0146813,13647,13.0
1666201576.6259625,13660,15.0
1666203192.8535376,13736,16.0
1666204605.8680866,13802,17.0
1666205226.7087486,13831,14.0
1666205582.7376752,13849,13.0
1666206436.8322875,13890,11.0
1666206986.122073,13916,15.0
1666208162.0299048,13971,14.0
1666208328.4555824,13980,13.0
1666208860.9143975,14006,17.0
1666209678.4611766,14046,19.0
1666212424.8281958,14177,9.0
1666212639.8225503,14188,13.0
1666213032.4107335,14206,13.0
1666214078.9315166,14258,16.0
1666214222.110293,14265,14.0
1666215978.0292485,14349,8.0
1666216102.1201954,14354,19.0
1666216259.262508,14361,11.0
1666217019.2433326,14399,18.0
1666217143.60969,14405,18.0
1666217410.125852,14419,14.0
1666217595.4452562,14428,11.0
1666218977.4176955,14496,14.0
1666219756.5280128,14535,18.0
1666220644.025547,14577,10.0
1666221590.114991,14623,17.0
1666222115.114231,14645,15.0
1666224305.3294687,14745,12.0
1666224604.8538558,14760,14.0
1666225886.7535844,14819,10.0
1666226556.137166,14851,16.0
1666226823.6156306,14864,13.0
1666226883.7431684,14868,14.0
1666228039.1274023,14921,12.0
1666228124.2615504,14925,10.0
1666228450.7180698,14940,7.0
1666230096.8374197,15019,13.0
1666231034.2207513,15065,15.0
1666231054.646508,15066,11.0
1666231133.24788,15070,15.0
1666231939.731165,15110,9.0
1666232248.9156873,15124,16.0
1666232518.4197748,15138,14.0
1666232827.7501073,15153,8.0
1666233268.6522188,15176,13.0
1666233462.2541835,15185,11.0
1666233772.5773342,15199,18.0
1666236339.2469063,15318,14.0
1666236699.732321,15334,11.0
1666237004.94934,15348,14.0
1666237332.4305031,15362,12.0
1666237526.835528,15371,14.0
1666238527.8374166,15419,6.0
1666238893.9382765,15435,17.0
1666239023.0109975,15441,7.0
1666239333.541849,15456,11.0
1666239473.61094,15462,15.0
1666240068.0632932,15490,8.0
1666242598.0625916,15610,11.0
1666243159.5474083,15638,8.0
1666243770.3391879,15668,10.0
1666244686.1623282,15712,15.0
1666244892.437486,15722,18.0
1666245429.4185524,15749,17.0
1666245655.4709594,15760,7.0
1666246356.7351909,15793,19.0
1666246527.3458266,15801,13.0
1666246926.2446265,15820,15.0
1666247193.7687702,15831,10.0
1666248062.0538886,15873,18.0
1666249080.4448254,15921,12.0
1666249098.2388709,15922,14.0
1666251443.5288095,16032,15.0
1666252382.8099222,16076,12.0
1666253255.8331523,16117,15.0
1666254702.6451166,16185,15.0
1666254716.6586049,16186,17.0
1666255759.8323486,16236,13.0
1666255814.6085992,16239,10.0
1666255884.8099897,16241,13.0
1666256001.2690055,16247,15.0
1666257420.6548889,16313,11.0
1666258153.825568,16346,12.0
1666259162.912411,16392,9.0
1666259558.4510558,16411,16.0
1666259912.5488036,16427,17.0
1666263562.2484736,16603,17.0
1666263603.669787,16605,10.0
1666263810.1219022,16615,17.0
1666266251.5423543,16731,16.0
1666266329.7285638,16735,11.0
1666268387.5825436,16834,8.0
1666269019.9153094,16866,19.0
1666269284.725564,16880,13.0
1666269366.9138715,16883,15.0
1666269841.4110646,16907,16.0
1666270638.4425683,16947,14.0
1666270737.5732625,16951,16.0
1666271821.4162755,17002,8.0
1666272088.04398,17016,9.0
1666272914.5100932,17054,15.0
1666272974.8423398,17057,15.0
1666273369.9101236,17076,16.0
1666274228.2225325,17120,15.0
1666274366.4528193,17126,14.0
1666274382.419036,17127,15.0
1666274714.8113706,17143,15.0
1666274954.8122659,17155,14.0
1666276517.344137,17229,12.0
1666276576.6631787,17231,15.0
1666276945.3240778,17250,14.0
1666277252.7199597,17263,9.0
1666277464.4634907,17273,15.0
1666277632.3465705,17281,11.0
1666279988.3658283,17394,11.0
1666280758.7686071,17431,17.0
1666282473.1424804,17515,14.0
1666283474.209364,17563,13.0
1666284905.0508556,17632,16.0
1666284920.0449178,17633,15.0
1666285743.8572268,17671,14.0
1666286070.2327564,17688,11.0
1666286246.3324828,17697,15.0
1666286943.0559928,17731,16.0
1666287727.4415038,17768,13.0
1666288676.2238293,17814,13.0
1666289879.3278594,17873,16.0
1666290047.0622494,17881,9.0
1666290113.0095906,17885,16.0
1666291098.271883,17935,13.0
1666291450.4152625,17952,11.0
1666291692.4582102,17964,12.0
1666292561.4149158,18005,14.0
1666292608.5660467,18008,18.0
1666293167.3266506,18035,14.0
1666293776.0176556,18064,19.0
1666294273.8119469,18088,15.0
1666294711.3404045,18109,16.0
1666294980.9575336,18121,17.0
1666295129.8107736,18129,15.0
1666295232.5234494,18133,17.0
1666295305.8543792,18137,14.0
1666296711.3270423,18207,19.0
1666298188.6517737,18276,18.0
1666299302.7112324,18332,15.0
1666299576.3405898,18345,10.0
1666300817.4531865,18405,14.0
1666301064.9128432,18417,9.0
1666301300.129693,18429,12.0
1666301614.6215522,18444,16.0
1666302082.9091964,18468,12.0
1666302371.4509676,18481,15.0
1666302525.4091566,18490,14.0
1666303203.8440607,18522,15.0
1666305146.7427666,18616,10.0
1666305255.0197175,18621,16.0
1666305520.2513459,18634,15.0
1666305773.340814,18645,1.0
1666308090.6530266,18758,14.0
1666308108.1176934,18759,14.0
1666308235.7341502,18765,14.0
1666308293.1612575,18768,13.0
1666308541.340098,18780,9.0
1666308891.7292984,18795,16.0
1666311014.4374192,18898,12.0
1666311151.3359132,18904,8.0
1666312968.2249444,18991,17.0
1666313901.450347,19036,16.0
1666313953.13087,19039,13.0
1666315189.219991,19099,18.0
1666315393.2225285,19109,14.0
1666315492.8097126,19113,16.0
1666315509.8413746,19114,16.0
1666317435.6378608,19209,13.0
1666318829.4245176,19278,17.0
1666319647.0099533,19319,10.0
